Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
MOA,NYMEX,PJM ATSI Zone 5 MW Off-Peak Calendar-Month Real-Time Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
6R4,CME,RUB/USD Weekly Friday Options - Week 4,FX,Emerging Market,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
6R5,CME,RUB/USD Weekly Friday Options - Week 5,FX,Emerging Market,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
OE3,CBOT,KC HRW Wheat Options Week 3,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
OE4,CBOT,KC HRW Wheat Options Week 4,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
OE5,CBOT,KC HRW Wheat Options Week 5,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
SDM,NYMEX,Singapore 180cst Fuel Oil (Platts) Mini Weekly Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
KWE,CBOT,Short-Dated New Crop KC HRW Wheat Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
PDJ,NYMEX,PJM Daily Load Forecast Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
VLD,NYMEX,Palo Verde Day-Ahead Peak Daily Calendar-Month 5 MW Future,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
SZ0,CBOT,Soybean Mar-Nov CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
MME,NYMEX,Mini Middle East Naphtha FOB Arab Gulf (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
MHE,NYMEX,Mini Middle East HSFO 180 cst FOB Arab Gulf (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
MGS,NYMEX,Mini Middle East HSFO 180 cst FOB Arab Gulf (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
GCE,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread Average Price Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
E35,CME,Eurodollar Options 3 Yr MC Week 5,Interest Rate,Stirs,true,SUN-FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
12K,CBOT,KC HRW Jul-Jul CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
CKZ,CBOT,KC HRW Dec-Dec CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
YM1,CBOT,E-mini Dow ($5) Weekly Options - Week 1,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
H3E,COMEX,Copper Weekly Options - Week 3,Metals,Base,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LN5,NYMEX,Natural Gas Financial Weekly Options (European) - Week 5,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WTI,NYMEX,WTI Midland (Argus) Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
CHB,NYMEX,Hardisty Western Canadian Select (NE2) Daily Index BALMO Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OUA,NYMEX,PJM Northern Illinois Hub Real-Time Peak Calendar-Month 5 MW Option,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
INE,NYMEX,ISO New England Day-Ahead Peak Calendar-Month 5 MW Option,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OLD,CBOT,Short-Dated New Crop Soybean Oil Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
MFR,NYMEX,Mini 3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread (100mt) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
MFP,NYMEX,Mini 1% Fuel Oil Cargoes CIF NWE (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
KET,CBOT,KC HRW Wheat TAS Futures,Agriculture,Grain And Oilseed,false,Sunday - Friday  7:00 p.m. - 7:45 a.m. CT and<br> Monday - Friday  8:30 a.m. - 1:20 p.m. CT<br> <br>,19:20UTC
GFT,CME,Feeder Cattle TAS Futures,Agriculture,Livestock,false,Monday - Friday: 8:30 a.m. - 1:05 p.m. CT (9:30 a.m. - 2:05 p.m. ET)<br> <br> TAS: Monday - Friday 8,ERROR,For input string: "(9"
XAO,NYMEX,LLS (Argus) Crude Oil Average Price Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
R1T,CME,BTIC on E-mini Russell 1000 Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
RGT,CME,BTIC on E-mini Russell 1000 Growth Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
RVT,CME,BTIC on E-mini Russell 1000 Value Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET with&nbsp; trading halt 4:15 p.m. - 4:30 p.m.<br> BTIC: Sun,22:00UTC
SLT,CME,BTIC on S&P MLP Total Return Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
OTN,CBOT,Ultra 10-Year U.S. Treasury Note Options,Interest Rate,US Treasury,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT).&nbsp; Monday - Thursday 5:00 p.,22:00UTC
TN3,CBOT,Ultra 10-Year U.S. Treasury Note Weekly Options - Week 3,Interest Rate,US Treasury,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT).&nbsp; Monday - Thursday 5:00 p.,22:00UTC
TN5,CBOT,Ultra 10-Year U.S. Treasury Note Weekly Options - Week 5,Interest Rate,US Treasury,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT).&nbsp; Monday - Thursday 5:00 p.,22:00UTC
C8C,NYMEX,CBL California Carbon Allowance Vintage-Specific 2018 Futures,Energy,Emissions,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. NY (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute br,22:00UTC
HTA,NYMEX,WTI Houston (Argus) Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday &nbsp;6:00 p.m. - 5:00 p.m.(5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each da,22:00UTC
HIB,NYMEX,WTI Houston (Argus) vs. WTI BALMO Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
CE2,NYMEX,Chicago Ethanol (Platts) Calendar Spread Option - Two Month,Energy,Biofuels,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
CE6,NYMEX,Chicago Ethanol (Platts) Calendar Spread Option - Six Month,Energy,Biofuels,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
GUL,NYMEX,Gulf Coast ULSD (Platts) Average Price Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
NCF,NYMEX,Mini Naphtha Cargoes CIF NWE (Argus) Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. EST) with a 60-minute break each day be,23:00UTC
CPD,NYMEX,CPC Blend CIF Med Cargoes (Platts) vs. Dated Brent (Platts) Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a 60-minute break each da,22:00UTC
GSR,COMEX,Gold/Silver Ratio Futures,Metals,Precious,false,Sunday - Friday 6:00 p.m. - 5:00 p.m.ET (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day b,22:00UTC
GPS,COMEX,Gold/Platinum Spread Futures,Metals,Precious,false,Sunday - Friday 6:00 p.m. - 5:00 p.m.ET (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day b,22:00UTC
OPF,CME,USD Malaysian Palm Olein Calendar Futures,Agriculture,Grain And Oilseed,false,Monday – Friday  8:30 a.m. – 1:20 p.m.CT,19:20UTC
NTP,NYMEX,ISO New England Connecticut Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NMP,NYMEX,ISO New England Maine Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NNP,NYMEX,ISO New England North East Massachusetts Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NSP,NYMEX,ISO New England South East Massachusetts Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
2CD,CME,CAD/USD Weekly Friday Options - Week 2,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
PBO,NYMEX,PJM BGE Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PCO,NYMEX,PJM ComEd Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PQO,NYMEX,PJM Duquesne Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
POC,NYMEX,PJM PENELEC Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PXO,NYMEX,PJM PEPCO Zone Off-Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PRO,NYMEX,PJM ATSI Zone Off-Peak Calendar-Day 5 MW Real-Time LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PZP,NYMEX,PJM APS Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PUP,NYMEX,PJM DPL Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PQP,NYMEX,PJM Duquesne Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PPL,NYMEX,PJM JCPL Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PXP,NYMEX,PJM PEPCO Zone Peak Calendar-Day 5 MW Day-Ahead LMP 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PSP,NYMEX,PJM PSEG Zone Peak Calendar-Day 5 MW Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NOD,NYMEX,NYISO Zone E Off-Peak Calendar-Day 5 MW Day-Ahead LBMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MMR,NYMEX,MISO Minnesota Hub Off-Peak Calendar-Day 5 MW Real-Time LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MRT,NYMEX,MISO Michigan Hub Off-Peak Calendar-Day 5 MW Real-Time LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MTI,NYMEX,MISO Illinois Hub Peak Calendar-Day 5 MW Real-Time LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
C9C,NYMEX,CBL California Carbon Allowance Vintage-Specific 2019 Futures,Energy,Emissions,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. NY (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day ,22:00UTC
S4A,CME,S&P 500 Monday Weekly Options - Week 4,Equities,US Index,true,Sunday - Friday: 6:00 p.m. - 5:00 p.m. ET with a trading halt 9:15 a.m. - 4:30 p.m.,22:00UTC
EGB,NYMEX,Gasoline Euro-bob Oxy NWE Barges (Argus) vs European Naphtha CIF NWE (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
WT1,CBOT,2-Year Treasury Note Wednesday Weekly Options - Week 1,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
WT2,CBOT,2-Year Treasury Note Wednesday Weekly Options - Week 2,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
WT5,CBOT,2-Year Treasury Note Wednesday Weekly Options - Week 5,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
WF2,CBOT,5-Year Treasury Note Wednesday Weekly Options - Week 2,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
WF4,CBOT,5-Year Treasury Note Wednesday Weekly Options - Week 4,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
WX1,CBOT,Ultra 10-Year Treasury Note Wednesday Weekly Options - Week 1,Interest Rate,US Treasury,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT).&nbsp; Monday - Thursday 5:00 p.,22:00UTC
WB2,CBOT,U.S. Treasury Bond Wednesday Weekly Options - Week 2,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
WU2,CBOT,Ultra U.S. Treasury Bond Wednesday Weekly Options - Week 2,Interest Rate,US Treasury,true,SUN-FRI: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
WU3,CBOT,Ultra U.S. Treasury Bond Wednesday Weekly Options - Week 3,Interest Rate,US Treasury,true,SUN-FRI: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
NBD,NYMEX,UK NBP Natural Gas Daily Futures,Energy,Natural Gas,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
WSO,NYMEX,WTS (Argus) vs. WTI Calendar Month Average Price Option,Energy,Crude Oil,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
F2Q,NYMEX,Coal (API 2) cif ARA (Argus/McCloskey) Future-Style Margined Option on Quarterly Futures Strips,Energy,Coal,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
VA3,CME,AUD/USD Weekly Wednesday Volatility-Quoted Options - Week 3,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
VA4,CME,AUD/USD Weekly Wednesday Volatility-Quoted Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
WG2,CME,GBP/USD Weekly Wednesday Options - Week 2,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
VG5,CME,GBP/USD Weekly Wednesday Volatility-Quoted Options - Week 5,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
VE4,CME,EUR/USD Weekly Wednesday Volatility-Quoted Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
VJ1,CME,JPY/USD Weekly Wednesday Volatility-Quoted Options - Week 1,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
VJ3,CME,JPY/USD Weekly Wednesday Volatility-Quoted Options - Week 3,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
GHS,NYMEX,Singapore Gasoil 500 ppm (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
GDH,NYMEX,Singapore Gasoil 500 ppm (Platts) Dubai (Platts) Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
T5C,NYMEX,Freight Route TC15 (Baltic) Futures,Energy,Freight,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
SWO,NYMEX,Edmonton Light Sweet (NE2) Monthly Index Average Price Option,Energy,Crude Oil,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
WNT,NYMEX,WCS Cushing (Argus) vs. WTI Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
T6B,NYMEX,Freight Route TC6 (Baltic) BALMO Futures,Energy,Freight,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
TB2,NYMEX,Freight Route TC12 (Baltic) BALMO Futures,Energy,Freight,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
T8B,NYMEX,Freight Route TD8 (Baltic) BALMO Futures,Energy,Freight,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
T4D,NYMEX,Mini Freight Route TC14 (Baltic) Daily Futures,Energy,Freight,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
LCF,NYMEX,California Low Carbon Fuel Standard (PRIMA) Futures,Energy,Emissions,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
3NB,NYMEX,Argus Propane Far East Index vs. Japan C&F Naphtha (Platts) BALMO Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
WHD,NYMEX,WTI Houston (Argus) vs. Dubai (Platts) Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
WHB,NYMEX,WTI Houston (Argus) vs. Brent Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
WMR,NYMEX,WTI Midland (Argus) vs. Brent Calendar Month Futures,Energy,Crude Oil,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
MDM,NYMEX,Mars(Argus) vs. Dubai (Platts) Calendar Month Futures,Energy,Crude Oil,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
MAB,NYMEX,Mars (Argus) vs. Brent Calendar Month Futures,Energy,Crude Oil,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
SGF,NYMEX,Singapore Gasoline 92 Unleaded (Platts) vs Gasoline Eurobob Non-Oxy NWE Barges (Argus) Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
JKB,NYMEX,LNG Japan/Korea Marker (Platts) Back Half Month Futures,Energy,Natural Gas,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
-,CME,BTIC on S&P-GSCI Excess Return Index Swaps,Agriculture,Commodity Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
GIT,CME,BTIC on S&P-GSCI Excess Return Index Futures,Agriculture,Commodity Index,false,Default:,ERROR,Index 0 out of bounds for length 0
DRT,CBOT,BTIC on Bloomberg Roll Select Commodity Index Futures,Agriculture,Commodity Index,false,Sunday - Friday&nbsp; 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m,22:00UTC
-,CBOT,Dow Jones Industrial Average Total Return Index Futures,Equities,US Index,false,BTIC: Sunday - Friday 5:00 p.m. - 3:00 p.m. (6:00 p.m. - 4:00 p.m. ET),21:00UTC
HTE,NYMEX,WTI Houston Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday &nbsp;6:00 p.m. - 5:00 p.m.(5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each da,22:00UTC
HTC,NYMEX,WTI Houston Calendar Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
HBR,NYMEX,WTI Houston vs. Brent Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
HBC,NYMEX,WTI Houston vs. Brent Calendar Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
HDB,NYMEX,WTI Houston vs. Dated Brent (Platts) Calendar Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
