Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
AL1,NYMEX,PJM Western Hub Peak Calendar-Month Real-Time LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
EMD,CME,E-mini S&P MidCap 400 Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET with&nbsp; trading halt 4:15 p.m. - 4:30 p.m.<br> <br> BTIC,22:00UTC
6S,CME,Swiss Franc Futures,FX,Majors,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
ADU,CME,AUD/USD Monthly Options,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
CAU,CME,CAD/USD Monthly Options,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
LT,NYMEX,Gulf Coast ULSD (Platts) Up-Down Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
6N,CME,New Zealand Dollar Futures,FX,Majors,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
GIE,CME,S&P-GSCI ER Index Futures,Agriculture,Commodity Index,false,Default:,ERROR,Index 0 out of bounds for length 0
V3L,NYMEX,PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
B6L,NYMEX,PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
GF,CME,Feeder Cattle Futures,Agriculture,Livestock,false,Monday - Friday: 8:30 a.m. - 1:05 p.m. CT (9:30 a.m. - 2:05 p.m. ET)<br> <br> TAS: Monday - Friday 8,ERROR,For input string: "(9"
NIY,CME,Nikkei/Yen Futures,Equities,International Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LIW,CBOT,5-year Eris Swap Futures,Interest Rate,Swap Futures,false,Default:,ERROR,Index 0 out of bounds for length 0
OCD,CBOT,Short-Dated New Crop Corn Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
OKE,CBOT,KC HRW Wheat Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
CSC,CME,Cash-Settled Cheese Options,Agriculture,Dairy,true,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m,23:00UTC
MNQ,CME,Micro E-mini Nasdaq-100 Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
AE7,NYMEX,Natural Gas (Henry Hub) Last-day Financial Option,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZN1,CBOT,10-Year T-Note Weekly Options - Week 1,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
6L,CME,Brazilian Real Futures,FX,Emerging Market,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m.,22:00UTC
CU,NYMEX,Chicago Ethanol (Platts) Futures,Energy,Biofuels,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
E1A,CME,E-mini S&P 500 Monday Weekly Options - Week 1,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
MGC,COMEX,Micro Gold Futures,Metals,Precious,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AUP,COMEX,Aluminum MW U.S. Transaction Premium Platts (25MT) Futures,Metals,Base,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
A7Q,NYMEX,Mont Belvieu Natural Gasoline (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZB1,CBOT,U.S. Treasury Bond Weekly Options - Week 1,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
LIT,CBOT,2-Year Eris Swap Futures,Interest Rate,Swap Futures,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
